Project_Name,Subproject,Sample_ID,Source_ID,Strain_ID,Plasmid_ID,Nucleic_Acids_ID,A260,A280,Ratio,nDrop,Qubit,Quantification_Method,Extractor,Date_Extracted,Storage_Location,Storage_Box,Kit_Name,Lot_Number,Kit_Name_2,Lot_Number_2,What_is_this?,Empty,Notes
NIH_Leech_Microbiome,EnvInteract,UAa0d2F031115EMai,UAa0d2F031115EMa,,,UAa0d2F031115EMaiD,,,,,18.0,,LinA,2015-04-03,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa0d2F031115EMbi,UAa0d2F031115EMb,,,UAa0d2F031115EMbiD,,,,,4.64,,LinA,2015-04-03,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa0d2F031115EMci,UAa0d2F031115EMc,,,UAa0d2F031115EMciD,,,,,24.7,,LinA,2015-04-03,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua0dF091814EMau,Ua0dF091814EMa,,,Ua0dF091814EMauD,,,,,0.09699999999999999,,LinA,2014-09-25,TLS_-80,D29,,,,,,no,"A0dF091814EMa.uD, Sample transferred and stored in 198µL Qubit Solution"
NIH_Leech_Microbiome,EnvInteract,Ua0dF091814EMbu,Ua0dF091814EMb,,,Ua0dF091814EMbuD,,,,,0.076,,LinA,2014-10-09,TLS_-80,D29,,,,,,no,A0dF091814EMb.uD
NIH_Leech_Microbiome,EnvInteract,Ua0dF091814EMcu,Ua0dF091814EMc,,,Ua0dF091814EMcuD,,,,,2.43,,LinA,2014-09-25,TLS_-80,D29,,,,,,no,A0dF091814EMc.uD
NIH_Leech_Microbiome,EnvInteract,Ua0dF110614EMai,Ua0dF110614EMa,,,Ua0dF110614EMaiD,,,,,15.7,,LinA,2015-03-30,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua0dF110614EMbi,Ua0dF110614EMb,,,Ua0dF110614EMbiD,,,,,29.4,,LinA,2015-03-30,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua0dF110614EMci,Ua0dF110614EMc,,,Ua0dF110614EMciD,,,,,0.8290000000000001,,LinA,2015-03-30,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua2dF110814EMai,Ua2dF110814EMa,,,Ua2dF110814EMaiD,,,,,4.19,,LinA,2015-04-01,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua2dF110814EMbi,Ua2dF110814EMb,,,Ua2dF110814EMbiD,,,,,24.2,,LinA,2015-04-03,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua2dF110814EMci,Ua2dF110814EMc,,,Ua2dF110814EMciD,,,,,10.1,,LinA,2015-04-08,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua4dF111014EMai,Ua4dF111014EMa,,,Ua4dF111014EMaiD,,,,,16.0,,LinA,2015-03-30,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua4dF111014EMbi,Ua4dF111014EMb,,,Ua4dF111014EMbiD,,,,,16.4,,LinA,2015-03-30,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua4dF111014EMci,Ua4dF111014EMc,,,Ua4dF111014EMciD,,,,,2.68,,LinA,2015-04-13,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua7dF111314EMai,Ua7dF111314EMa,,,Ua7dF111314EMaiD,,,,,14.8,,LinA,2015-04-15,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua7dF111314EMbi,Ua7dF111314EMb,,,Ua7dF111314EMbiD,,,,,3.69,,LinA,2015-04-13,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua7dF111314EMci,Ua7dF111314EMc,,,Ua7dF111314EMciD,,,,,19.0,,LinA,2015-04-13,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua0d2F020415EMai,Ua0d2F020415EMa,,,Ua0d2F020415EMaiD,,,,,2.53,,LinA,2015-02-25,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua0d2F020415EMbi,Ua0d2F020415EMb,,,Ua0d2F020415EMbiD,,,,,60.0,,LinA,2015-02-27,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua0d2F020415EMci,Ua0d2F020415EMc,,,Ua0d2F020415EMciD,,,,,57.0,,LinA,2015-02-27,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua2d2F020615EMai,Ua2d2F020615EMa,,,Ua2d2F020615EMaiD,,,,,21.9,,LinA,2015-03-02,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua2d2F020615EMbi,Ua2d2F020615EMb,,,Ua2d2F020615EMbiD,,,,,16.6,,LinA,2015-02-27,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua2d2F020615EMci,Ua2d2F020615EMc,,,Ua2d2F020615EMciD,,,,,0.499,,LinA,2015-02-20,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua7d2F021115EMai,Ua7d2F021115EMa,,,Ua7d2F021115EMaiD,,,,,0.8170000000000001,,LinA,2015-02-13,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua7d2F021115EMbi,Ua7d2F021115EMb,,,Ua7d2F021115EMbiD,,,,,5.75,,LinA,2015-02-13,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,Ua7d2F021115EMci,Ua7d2F021115EMc,,,Ua7d2F021115EMciD,,,,,1.52,,LinA,2015-02-13,BPB425_-20,DNA6,,,,,,no,
NIH_Leech_Microbiome,Hatch,FAa7dH092114EMai,FAa7dH092114EMa,,,FAa7dH092114EMaiD,,,,,2.41,,LinA,2014-09-25,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,Hatch,FAa7dH092114EMau,FAa7dH092114EMa,,,FAa7dH092114EMauD,,,,,2.15,,LinA,2014-10-07,TLS_-80,D29,,,,,,no,
NIH_Leech_Microbiome,Hatch,FAa7dH092114EMbi,FAa7dH092114EMb,,,FAa7dH092114EMbiD,,,,,0.807,,LinA,2014-10-07,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,Hatch,FAa7dH092114EMbu,FAa7dH092114EMb,,,FAa7dH092114EMbuD,,,,,2.33,,LinA,2014-10-09,TLS_-80,D29,,,,,,no,
NIH_Leech_Microbiome,Hatch,FAa7dH092114EMci,FAa7dH092114EMc,,,FAa7dH092114EMciD,,,,,0.258,,LinA,2015-02-13,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,Hatch,FAa7dH092114EMcu,FAa7dH092114EMc,,,FAa7dH092114EMcuD,,,,,2.84,,LinA,2014-09-25,TLS_-80,D29,,,,,,no,
